ID_Expediente,TipoPrestacion,TipoRecurso,TieneSentencia,CruceISSHistorico,ResultadoValIndicios,ResultadoValNomina,ResultadoValHL,TieneDocumentosAdicionales,ExisteRegistroEmbargo,RequiereRevisionHL,UltimoEmpleadorPublico,RecibePensionActual,TienePQRSPendiente,TieneRequerimientoExterno,EstadoRequerimientoInterno,TieneTiemposNoISS,EstadoVinculacionBEPS,AsignarBancoBEPS,ClasificacionModelo,ClasificacionEsperada,ResultadoValidacion
EXP-000174,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000175,Sustitucion,Ninguno,No,No,Si,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000176,Vejez,Ninguno,No,No,No,No,No,Si,Si,No,No,No,Si,No,Abierto,No,No aplica,No,Mixto,Manual,INCORRECTO
EXP-000177,Vejez,Ninguno,No,No,No,No,No,No,No,No,Si,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000178,Sustitucion,Reposicion,Si,Si,Si,No,No,Si,No,Si,Si,No,No,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000179,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000180,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000181,Auxilio Funerario,Ninguno,No,No,Si,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000182,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000183,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,Si,Automatico,Automatico,CORRECTO
EXP-000184,Sustitucion,Ninguno,No,No,No,No,Si,No,No,Si,Si,Si,Si,No,Cerrado,Si,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000185,Auxilio Funerario,Apelacion,No,No,No,Si,No,No,No,Si,Si,Si,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000186,Sobrevivientes,Ninguno,No,No,No,Si,Si,Si,No,No,No,Si,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000187,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000188,Vejez,Ninguno,No,No,Si,No,No,No,Si,Si,No,No,Si,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000189,Convenio Internacional,Ninguno,No,No,Si,No,No,No,No,Si,No,No,Si,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000190,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,Si,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000191,Auxilio Funerario,Ninguno,No,No,No,No,No,No,Si,No,No,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000192,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,Si,Si,No,No,No,Cerrado,No,Vinculado,No,Mixto,Mixto,CORRECTO
EXP-000193,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000194,Vejez,Reposicion,Si,No,No,No,No,Si,No,Si,Si,No,Si,No,Cerrado,No,No aplica,Si,Manual,Manual,CORRECTO
EXP-000195,Sustitucion,Ninguno,No,No,No,Si,Si,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000196,Sobrevivientes,Ninguno,No,Si,No,No,No,Si,No,No,No,Si,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000197,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,Si,No,Si,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000198,Auxilio Funerario,Ninguno,No,No,No,No,No,No,Si,No,No,No,No,Si,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000199,Sustitucion,Ninguno,No,No,No,No,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000200,Invalidez Especial,Ninguno,Si,No,No,No,Si,Si,No,Si,No,No,No,No,Abierto,No,Prospecto,No,Manual,Manual,CORRECTO
EXP-000201,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000202,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,Si,No,No,Cerrado,No,Prospecto,No,Mixto,Automatico,INCORRECTO
EXP-000203,Sustitucion,Ninguno,No,No,Si,No,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000204,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000205,Vejez,Ninguno,No,No,Si,No,No,No,No,No,No,No,Si,Si,Cerrado,Si,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000206,Sobrevivientes,Ninguno,No,No,Si,No,Si,Si,Si,No,No,No,No,No,Abierto,No,No aplica,No,Manual,Mixto,INCORRECTO
EXP-000207,Invalidez Especial,Ninguno,No,No,Si,No,Si,Si,No,No,Si,Si,No,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000208,Convenio Internacional,Ninguno,Si,No,No,Si,No,No,Si,No,No,No,Si,Si,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000209,Sustitucion,Ninguno,No,No,No,Si,No,No,No,Si,No,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000210,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000211,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,Si,Automatico,Automatico,CORRECTO
EXP-000212,Invalidez Especial,Reposicion,Si,Si,No,No,No,Si,Si,Si,Si,Si,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000213,Sobrevivientes,Ninguno,No,Si,No,Si,No,Si,Si,Si,No,No,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000214,Sustitucion,Ninguno,No,No,No,Si,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000215,Sustitucion,Ninguno,No,No,Si,No,Si,No,No,Si,No,Si,No,No,Cerrado,Si,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000216,Sustitucion,Ninguno,No,No,No,No,No,Si,No,No,No,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000217,Vejez,Ninguno,No,No,Si,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000218,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000219,Convenio Internacional,Apelacion,Si,No,No,No,Si,Si,Si,No,No,Si,No,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000220,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,Si,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000221,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,Si,No,Abierto,No,Prospecto,No,Mixto,Mixto,CORRECTO
EXP-000222,Sustitucion,Ninguno,No,No,No,No,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000223,Sustitucion,Ninguno,No,No,No,Si,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000224,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000225,Auxilio Funerario,Ninguno,No,No,Si,No,No,No,No,No,No,Si,No,No,Cerrado,No,Vinculado,No,Mixto,Mixto,CORRECTO
EXP-000226,Convenio Internacional,Ninguno,No,No,No,Si,No,Si,No,No,Si,Si,No,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000227,Auxilio Funerario,Ninguno,No,Si,No,No,No,No,No,No,No,No,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000228,Auxilio Funerario,Ninguno,No,No,Si,Si,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000229,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,Si,No,No,Cerrado,No,No aplica,Si,Mixto,Mixto,CORRECTO
EXP-000230,Vejez,Ninguno,No,No,Si,No,No,No,No,No,No,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000231,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000232,Sustitucion,Apelacion,No,No,No,No,No,No,Si,No,No,No,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000233,Invalidez Especial,Ninguno,No,No,No,No,Si,Si,No,No,Si,No,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000234,Sustitucion,Ninguno,No,No,No,No,No,No,No,Si,No,No,No,Si,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000235,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000236,Vejez,Ninguno,No,No,Si,No,No,No,No,No,No,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000237,Sobrevivientes,Ninguno,No,No,No,No,No,Si,No,Si,Si,No,Si,Si,Abierto,Si,No aplica,Si,Manual,Manual,CORRECTO
EXP-000238,Vejez,Ninguno,No,No,No,No,No,No,No,Si,No,No,No,No,Cerrado,No,Vinculado,No,Mixto,Mixto,CORRECTO
EXP-000239,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000240,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000241,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000242,Invalidez Especial,Ninguno,No,Si,No,No,No,Si,Si,No,No,Si,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000243,Vejez,Apelacion,No,No,Si,No,No,Si,No,No,Si,No,No,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000244,Sustitucion,Ninguno,No,No,No,No,No,No,No,Si,No,No,Si,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000245,Sustitucion,Ninguno,No,No,No,No,No,Si,No,No,No,No,No,No,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000246,Invalidez Especial,Ninguno,No,No,No,No,No,No,No,Si,No,Si,Si,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000247,Convenio Internacional,Ninguno,No,No,No,Si,No,No,No,No,No,No,No,Si,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000248,Convenio Internacional,Reposicion,No,No,No,Si,No,No,No,No,Si,Si,No,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000249,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000250,Convenio Internacional,Ninguno,No,Si,No,Si,Si,Si,No,Si,No,No,Si,Si,Cerrado,No,Vinculado,No,Manual,Manual,CORRECTO
EXP-000251,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Manual,INCORRECTO
EXP-000252,Vejez,Ninguno,No,Si,Si,No,No,Si,No,Si,No,No,No,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000253,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000254,Vejez,Ninguno,No,No,No,No,No,No,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000255,Sobrevivientes,Apelacion,No,No,No,Si,Si,No,No,No,Si,No,Si,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000256,Vejez,Ninguno,Si,No,No,No,Si,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000257,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,Si,No,No,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000258,Auxilio Funerario,Ninguno,No,No,No,No,Si,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000259,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,Prospecto,No,Automatico,Automatico,CORRECTO
EXP-000260,Invalidez Especial,Apelacion,No,No,No,No,No,No,Si,No,No,Si,Si,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000261,Sustitucion,Reposicion,No,No,No,No,No,No,No,No,No,Si,No,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000262,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000263,Sustitucion,Ninguno,No,No,No,Si,No,No,No,No,No,No,No,No,Abierto,Si,No aplica,Si,Mixto,Mixto,CORRECTO
EXP-000264,Vejez,Ninguno,No,No,No,No,No,Si,No,No,No,No,No,No,Cerrado,No,Vinculado,Si,Mixto,Mixto,CORRECTO
EXP-000265,Sobrevivientes,Reposicion,No,Si,Si,No,No,Si,No,Si,No,No,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000266,Sustitucion,Ninguno,No,No,No,No,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000267,Sustitucion,Ninguno,No,No,Si,No,No,No,Si,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000268,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000269,Vejez,Ninguno,No,No,Si,No,No,No,No,Si,No,Si,Si,No,Cerrado,Si,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000270,Vejez,Ninguno,No,No,No,Si,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000271,Convenio Internacional,Reposicion,No,No,Si,Si,No,No,No,Si,No,No,Si,No,Cerrado,No,No aplica,Si,Manual,Manual,CORRECTO
EXP-000272,Vejez,Ninguno,No,No,Si,No,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000273,Auxilio Funerario,Ninguno,No,No,No,No,No,Si,No,No,No,No,Si,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000274,Sustitucion,Ninguno,No,No,No,No,Si,Si,No,No,Si,No,No,Si,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000275,Sobrevivientes,Ninguno,No,No,Si,Si,Si,Si,No,No,No,Si,No,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000276,Vejez,Ninguno,No,No,No,Si,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000277,Vejez,Ninguno,No,No,Si,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000278,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,Si,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000279,Invalidez Especial,Ninguno,Si,No,No,Si,No,Si,No,Si,No,No,No,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000280,Vejez,Apelacion,No,No,No,No,Si,No,No,No,No,No,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000281,Vejez,Apelacion,No,No,No,Si,No,No,No,No,Si,Si,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000282,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,Si,No,No,Cerrado,No,Vinculado,No,Mixto,Mixto,CORRECTO
EXP-000283,Auxilio Funerario,Apelacion,No,Si,Si,Si,No,No,Si,Si,Si,Si,Si,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000284,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,Si,No,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000285,Invalidez Especial,Ninguno,No,No,No,No,Si,Si,No,No,No,No,Si,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000286,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000287,Vejez,Reposicion,No,No,No,No,No,Si,No,Si,No,Si,No,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000288,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,Si,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000289,Sobrevivientes,Ninguno,No,No,Si,No,Si,Si,No,Si,No,No,No,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000290,Vejez,Ninguno,No,No,No,Si,Si,Si,No,No,No,No,No,No,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000291,Vejez,Ninguno,No,No,No,No,Si,No,No,No,Si,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000292,Sustitucion,Ninguno,No,No,No,No,No,No,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000293,Vejez,Ninguno,No,No,No,No,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000294,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,Vinculado,No,Automatico,Automatico,CORRECTO
EXP-000295,Sobrevivientes,Reposicion,No,No,Si,No,Si,No,No,Si,No,No,Si,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000296,Sobrevivientes,Apelacion,No,No,Si,No,No,No,No,Si,No,No,Si,No,Abierto,No,Prospecto,No,Manual,Manual,CORRECTO
EXP-000297,Vejez,Ninguno,No,No,No,Si,Si,Si,Si,Si,Si,No,No,Si,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000298,Vejez,Ninguno,No,No,No,No,No,No,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000299,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000300,Sobrevivientes,Apelacion,No,No,No,Si,No,Si,No,No,Si,No,Si,No,Cerrado,No,Prospecto,Si,Manual,Manual,CORRECTO
EXP-000301,Convenio Internacional,Ninguno,No,No,Si,No,No,No,No,No,Si,No,No,Si,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000302,Convenio Internacional,Apelacion,No,No,Si,Si,No,No,No,Si,Si,Si,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000303,Sobrevivientes,Apelacion,No,Si,Si,No,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000304,Auxilio Funerario,Reposicion,No,No,No,Si,No,Si,No,No,No,No,No,Si,Abierto,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000305,Vejez,Reposicion,Si,No,Si,No,No,Si,No,No,Si,No,No,No,Abierto,No,Vinculado,No,Manual,Manual,CORRECTO
EXP-000306,Vejez,Ninguno,No,No,No,No,No,No,Si,No,No,No,Si,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000307,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,Si,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000308,Sustitucion,Ninguno,No,No,No,No,No,No,Si,No,No,No,Si,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000309,Auxilio Funerario,Ninguno,No,Si,No,No,No,No,Si,No,No,No,No,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000310,Vejez,Ninguno,No,No,No,No,No,No,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Automatico,INCORRECTO
EXP-000311,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,Si,Si,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000312,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,Si,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000313,Sustitucion,Ninguno,No,No,Si,No,No,No,No,No,No,Si,No,No,Cerrado,No,Prospecto,No,Mixto,Mixto,CORRECTO
EXP-000314,Sustitucion,Ninguno,No,No,Si,No,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000315,Convenio Internacional,Ninguno,No,Si,No,No,No,No,No,No,No,No,No,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000316,Invalidez Especial,Apelacion,No,Si,Si,No,No,Si,No,No,No,No,Si,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000317,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Manual,INCORRECTO
EXP-000318,Convenio Internacional,Reposicion,No,No,Si,No,Si,Si,Si,No,No,No,No,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000319,Convenio Internacional,Ninguno,Si,No,No,No,No,Si,No,Si,No,No,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000320,Auxilio Funerario,Ninguno,No,Si,No,No,Si,No,Si,Si,Si,No,Si,No,Cerrado,No,Vinculado,No,Manual,Manual,CORRECTO
EXP-000321,Vejez,Ninguno,No,No,Si,No,No,No,No,No,No,No,No,No,Abierto,No,Prospecto,No,Mixto,Mixto,CORRECTO
EXP-000322,Auxilio Funerario,Apelacion,No,Si,No,Si,No,Si,No,No,Si,No,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000323,Sustitucion,Ninguno,No,No,No,No,No,No,No,Si,No,No,No,No,Cerrado,Si,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000324,Vejez,Ninguno,No,Si,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000325,Auxilio Funerario,Ninguno,No,No,Si,Si,Si,Si,Si,No,No,No,No,No,Cerrado,Si,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000326,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000327,Sobrevivientes,Apelacion,No,Si,Si,No,No,No,No,Si,Si,No,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000328,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,Si,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000329,Auxilio Funerario,Ninguno,No,No,Si,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000330,Auxilio Funerario,Reposicion,No,No,No,Si,No,Si,No,No,No,No,No,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000331,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,Si,No,No,No,Cerrado,No,No aplica,Si,Mixto,Mixto,CORRECTO
EXP-000332,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000333,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000334,Sustitucion,Apelacion,No,No,No,Si,No,Si,No,Si,No,No,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000335,Sustitucion,Apelacion,No,No,No,Si,No,Si,Si,Si,No,No,Si,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000336,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000337,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000338,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000339,Convenio Internacional,Reposicion,No,Si,No,Si,No,Si,No,No,No,No,Si,Si,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000340,Sobrevivientes,Reposicion,No,No,No,Si,No,Si,Si,No,No,No,No,Si,Cerrado,No,No aplica,Si,Manual,Manual,CORRECTO
EXP-000341,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,Si,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000342,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Manual,INCORRECTO
EXP-000343,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,Si,No,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000344,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000345,Vejez,Apelacion,No,No,No,No,Si,Si,No,No,No,No,Si,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000346,Convenio Internacional,Reposicion,No,No,No,Si,No,No,No,Si,No,Si,Si,No,Cerrado,No,Prospecto,No,Manual,Manual,CORRECTO
EXP-000347,Sustitucion,Ninguno,No,No,No,No,Si,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000348,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
